2026-02-09 08:33:04.001 | INFO     | app.main:lifespan:90 | 👋 Shutting down NTFS Forensic Recovery System
2026-02-09 08:33:04.002 | INFO     | app.main:lifespan:94 | ✓ Database connections closed
2026-02-09 08:33:04.495 | INFO     | app.main:lifespan:60 | 🚀 Starting NTFS Forensic Recovery System
2026-02-09 08:33:04.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/evidence
2026-02-09 08:33:04.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/mount
2026-02-09 08:33:04.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/recovered
2026-02-09 08:33:04.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/carved
2026-02-09 08:33:04.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/temp
2026-02-09 08:33:04.496 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/reports
2026-02-09 08:33:04.496 | INFO     | app.main:lifespan:75 | ✓ Created directory: logs
2026-02-09 08:33:04.498 | INFO     | app.main:lifespan:80 | ✓ Database initialized successfully
2026-02-09 08:33:04.498 | INFO     | app.main:lifespan:85 | ✓ Application startup complete
2026-02-09 08:33:42.868 | INFO     | app.main:lifespan:90 | 👋 Shutting down NTFS Forensic Recovery System
2026-02-09 08:33:42.869 | INFO     | app.main:lifespan:94 | ✓ Database connections closed
2026-02-09 08:33:43.363 | INFO     | app.main:lifespan:60 | 🚀 Starting NTFS Forensic Recovery System
2026-02-09 08:33:43.364 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/evidence
2026-02-09 08:33:43.364 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/mount
2026-02-09 08:33:43.364 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/recovered
2026-02-09 08:33:43.364 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/carved
2026-02-09 08:33:43.364 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/temp
2026-02-09 08:33:43.364 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/reports
2026-02-09 08:33:43.364 | INFO     | app.main:lifespan:75 | ✓ Created directory: logs
2026-02-09 08:33:43.366 | INFO     | app.main:lifespan:80 | ✓ Database initialized successfully
2026-02-09 08:33:43.366 | INFO     | app.main:lifespan:85 | ✓ Application startup complete
2026-02-09 08:34:22.078 | INFO     | app.main:lifespan:90 | 👋 Shutting down NTFS Forensic Recovery System
2026-02-09 08:34:22.079 | INFO     | app.main:lifespan:94 | ✓ Database connections closed
2026-02-09 08:34:22.577 | INFO     | app.main:lifespan:60 | 🚀 Starting NTFS Forensic Recovery System
2026-02-09 08:34:22.577 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/evidence
2026-02-09 08:34:22.577 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/mount
2026-02-09 08:34:22.577 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/recovered
2026-02-09 08:34:22.577 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/carved
2026-02-09 08:34:22.577 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/temp
2026-02-09 08:34:22.577 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/reports
2026-02-09 08:34:22.577 | INFO     | app.main:lifespan:75 | ✓ Created directory: logs
